Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),CORE_ZN:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PSZ-AC:1:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:2:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:3:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:4:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:5:Air System Total Cooling Energy [J](TimeStep) 
 08/01  13:00:00,34.4,25.048978059516409,25.36123692768694,22.224626350679896,24.239534276982057,23.871525525747655,59.834116570257638,25.048999999999994,25.362000000000003,22.224999999999999,24.24000000000001,23.872999999999995,0.0,5706441.153132133,4593747.29151094,3035309.3116480924,5469001.360579835,3651141.3489353416 
 08/01  13:15:00,34.55,25.050003383843174,25.363476977140885,22.22540895877451,24.240803577174164,23.87425662074481,60.31257210110816,25.049999999999995,25.364,22.226,24.24100000000001,23.874999999999994,0.0,5736713.62027202,4643672.063553276,3020098.346584178,5501999.076785074,3671731.8421625967 
 08/01  13:30:00,34.7,25.05038312843416,25.364679872168926,22.27179409459019,24.241209671823179,23.875582872921219,60.57335644162311,25.049999999999995,25.365000000000003,22.282,24.24100000000001,23.875999999999995,0.0,5766734.596262305,4691407.091294211,2927892.9128007607,5532685.681753475,3690371.5611559969 
 08/01  13:45:00,34.85,25.050490744724909,25.365611478043346,22.2771959737809,24.24130943901928,23.876538529097265,60.69036562735367,25.049999999999995,25.366000000000004,22.279,24.24100000000001,23.876999999999997,0.0,5790200.532474761,4728525.400836363,2945770.7440223318,5554974.1844686879,3707236.122170532 
 08/01  14:00:00,35.0,25.050549215738845,25.366051383818566,22.266530379364068,24.24136395573027,23.87697893876283,60.7519900614833,25.049999999999995,25.366000000000004,22.265,24.24100000000001,23.876999999999997,0.0,5812687.545197833,4763561.51662263,2934009.797758694,5574249.794670842,3749687.17457922 
 08/01  14:15:00,35.0,25.05057870386065,25.366256721760839,22.252267887794763,24.240846583069556,23.877171493666624,60.73449429167746,25.049999999999995,25.366000000000004,22.25,24.24000000000001,23.876999999999997,0.0,5822408.181765733,4792763.565263379,2940788.4499203625,5593613.110874754,3815279.9017807778 
 08/01  14:30:00,35.0,25.445298683625066,25.720942478683726,22.867125537848087,24.517400639043623,24.291315195694137,60.584941527878758,25.578999999999995,25.843000000000005,22.895,24.61000000000001,24.432999999999998,0.0,4473807.144389548,3804749.6158690799,2168194.323578987,4795855.032343993,3138734.7382538735 
 08/01  14:45:00,35.0,26.010984028690598,26.22953704104095,23.538747503352306,24.912466169237697,24.884011165682247,60.23704120259623,26.10799999999999,26.319,23.543,24.98000000000001,24.988999999999995,0.0,3491677.5743716319,3052630.487271195,1475906.125940309,4151745.732684269,2600815.2159863898 
 08/01  15:00:00,35.0,26.46249745276687,26.639740937554849,24.04218161697792,25.233011862231949,25.370393219742156,59.44256438088319,26.54399999999999,26.715000000000005,24.046,25.28900000000001,25.458999999999994,0.0,3227500.5461738614,2811904.7897211725,1183420.3125103086,3897037.227582425,2404693.0545958059 
 08/01  15:15:00,35.15,26.809961101936069,26.960380257268186,24.387289780077315,25.484257434716829,25.76267993780379,58.5160175199919,26.846999999999995,26.995000000000006,24.387999999999999,25.510000000000013,25.804999999999997,0.0,3095365.335118777,2667032.5509558066,1003988.6929271258,3741234.5271044129,2289765.2345728946 
